sex,age,SES,PIF
female,68,4,0.040887162
female,69,4,0.040887162
female,70,4,0.034799359
female,71,4,0.034799359
female,72,4,0.034799359
female,73,4,0.034799359
female,74,4,0.034799359
female,75,4,0.057112115
female,76,4,0.057112115
female,77,4,0.057112115
female,78,4,0.057112115
female,79,4,0.057112115
female,80,4,0.027773396
female,81,4,0.027773396
female,82,4,0.027773396
female,83,4,0.027773396
female,84,4,0.027773396
female,85,4,0.012840324
female,86,4,0.012840324
female,87,4,0.012840324
female,88,4,0.012840324
female,89,4,0.012840324
female,90,4,0.012828254
female,91,4,0.012828254
female,92,4,0.012828254
female,93,4,0.012828254
female,94,4,0.012828254
female,95,4,0.012828254
female,96,4,0.012828254
female,97,4,0.012828254
female,98,4,0.012828254
female,99,4,0.012828254
female,100,4,0.012828254
female,101,4,0.012828254
female,102,4,0.012828254
female,103,4,0.012828254
female,104,4,0.012828254
female,105,4,0.012828254
female,106,4,0.012828254
female,107,4,0.012828254
female,108,4,0.012828254
female,109,4,0.012828254
female,110,4,0.012828254
