age,sex,sub_pops,prop0,prop1,prop2,prop3,prop4,mort_RR0,mort_RR1,mort_RR2,mort_RR3,mort_RR4,yld_RR0,yld_RR1,yld_RR2,yld_RR3,yld_RR4
48,male,5,0.2,0.2,0.2,0.2,0.2,1.751386318,1.563539738,1.375693159,1.187846579,1,1.223248575,1.167436431,1.111624287,1.055812144,1
49,male,5,0.2,0.2,0.2,0.2,0.2,1.751386318,1.563539738,1.375693159,1.187846579,1,1.223248575,1.167436431,1.111624287,1.055812144,1
50,male,5,0.2,0.2,0.2,0.2,0.2,1.788478153,1.591358615,1.394239077,1.197119538,1,1.188205932,1.141154449,1.094102966,1.047051483,1
51,male,5,0.2,0.2,0.2,0.2,0.2,1.788478153,1.591358615,1.394239077,1.197119538,1,1.188205932,1.141154449,1.094102966,1.047051483,1
52,male,5,0.2,0.2,0.2,0.2,0.2,1.788478153,1.591358615,1.394239077,1.197119538,1,1.188205932,1.141154449,1.094102966,1.047051483,1
53,male,5,0.2,0.2,0.2,0.2,0.2,1.788478153,1.591358615,1.394239077,1.197119538,1,1.188205932,1.141154449,1.094102966,1.047051483,1
54,male,5,0.2,0.2,0.2,0.2,0.2,1.788478153,1.591358615,1.394239077,1.197119538,1,1.188205932,1.141154449,1.094102966,1.047051483,1
55,male,5,0.2,0.2,0.2,0.2,0.2,1.832745168,1.624558876,1.416372584,1.208186292,1,1.273231715,1.204923786,1.136615858,1.068307929,1
56,male,5,0.2,0.2,0.2,0.2,0.2,1.832745168,1.624558876,1.416372584,1.208186292,1,1.273231715,1.204923786,1.136615858,1.068307929,1
57,male,5,0.2,0.2,0.2,0.2,0.2,1.832745168,1.624558876,1.416372584,1.208186292,1,1.273231715,1.204923786,1.136615858,1.068307929,1
58,male,5,0.2,0.2,0.2,0.2,0.2,1.832745168,1.624558876,1.416372584,1.208186292,1,1.273231715,1.204923786,1.136615858,1.068307929,1
59,male,5,0.2,0.2,0.2,0.2,0.2,1.832745168,1.624558876,1.416372584,1.208186292,1,1.273231715,1.204923786,1.136615858,1.068307929,1
60,male,5,0.2,0.2,0.2,0.2,0.2,1.664325507,1.49824413,1.332162753,1.166081377,1,1.263130113,1.197347584,1.131565056,1.065782528,1
61,male,5,0.2,0.2,0.2,0.2,0.2,1.664325507,1.49824413,1.332162753,1.166081377,1,1.263130113,1.197347584,1.131565056,1.065782528,1
62,male,5,0.2,0.2,0.2,0.2,0.2,1.664325507,1.49824413,1.332162753,1.166081377,1,1.263130113,1.197347584,1.131565056,1.065782528,1
63,male,5,0.2,0.2,0.2,0.2,0.2,1.664325507,1.49824413,1.332162753,1.166081377,1,1.263130113,1.197347584,1.131565056,1.065782528,1
64,male,5,0.2,0.2,0.2,0.2,0.2,1.664325507,1.49824413,1.332162753,1.166081377,1,1.263130113,1.197347584,1.131565056,1.065782528,1
65,male,5,0.2,0.2,0.2,0.2,0.2,1.538447462,1.403835596,1.269223731,1.134611865,1,1.20335978,1.152519835,1.10167989,1.050839945,1
66,male,5,0.2,0.2,0.2,0.2,0.2,1.538447462,1.403835596,1.269223731,1.134611865,1,1.20335978,1.152519835,1.10167989,1.050839945,1
67,male,5,0.2,0.2,0.2,0.2,0.2,1.538447462,1.403835596,1.269223731,1.134611865,1,1.20335978,1.152519835,1.10167989,1.050839945,1
68,male,5,0.2,0.2,0.2,0.2,0.2,1.538447462,1.403835596,1.269223731,1.134611865,1,1.20335978,1.152519835,1.10167989,1.050839945,1
69,male,5,0.2,0.2,0.2,0.2,0.2,1.538447462,1.403835596,1.269223731,1.134611865,1,1.20335978,1.152519835,1.10167989,1.050839945,1
70,male,5,0.2,0.2,0.2,0.2,0.2,1.414072236,1.310554177,1.207036118,1.103518059,1,1.158654752,1.118991064,1.079327376,1.039663688,1
71,male,5,0.2,0.2,0.2,0.2,0.2,1.414072236,1.310554177,1.207036118,1.103518059,1,1.158654752,1.118991064,1.079327376,1.039663688,1
72,male,5,0.2,0.2,0.2,0.2,0.2,1.414072236,1.310554177,1.207036118,1.103518059,1,1.158654752,1.118991064,1.079327376,1.039663688,1
73,male,5,0.2,0.2,0.2,0.2,0.2,1.414072236,1.310554177,1.207036118,1.103518059,1,1.158654752,1.118991064,1.079327376,1.039663688,1
